,fighter,salary,year,Unnamed: 0,first_name,last_name,height,weight,stance,wins,losses,draws,number_of_fights,full_name,gender,current_or_former_champ
184,Jim Miller,"$218,000 ",2010,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
185,Jim Miller,"$97,000 ",2011,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
186,Jim Miller,"$303,000 ",2012,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
187,Jim Miller,"$303,000 ",2013,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
188,Jim Miller,"$154,000 ",2014,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
189,Jim Miller,"$303,000 ",2015,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
190,Jim Miller,"$562,000 ",2016,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
191,Jim Miller,"$323,000 ",2017,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
192,Jim Miller,"$336,000 ",2018,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
193,Jim Miller,"$460,000 ",2019,228,Jim,Miller,"5' 8""",155,Southpaw,33,16,0,49,Jim Miller,m,f
